Subject 32139: V: 100 | C: 98.39 | Overall score: 99.19 
Subject 82405: V: 100 | C: 97.99 | Overall score: 99.00 

Subject 86087: V: 100 | C: 98.01 | Overall score: 99.00 

Subject 90391: V: 100 | C: 98.0 | Overall score: 99.00 

Subject 99461: V: 100 | C: 97.98 | Overall score: 98.99 

Subject 27721: V: 100 | C: 97.96 | Overall score: 98.98 

Subject 68319: V: 100 | C: 97.97 | Overall score: 98.98 

Subject 70330: V: 100 | C: 97.96 | Overall score: 98.98 

Subject 15769: V: 100 | C: 97.93 | Overall score: 98.97 

Subject 42885: V: 100 | C: 97.94 | Overall score: 98.97 

Subject 510: V: 100 | C: 97.94 | Overall score: 98.97 

Subject 5701: V: 100 | C: 97.93 | Overall score: 98.97 

Subject 71277: V: 100 | C: 97.93 | Overall score: 98.97 

Subject 92890: V: 100 | C: 97.94 | Overall score: 98.97 

Subject 16020: V: 100 | C: 97.91 | Overall score: 98.95 

Subject 17406: V: 100 | C: 97.9 | Overall score: 98.95 

Subject 27677: V: 100 | C: 97.9 | Overall score: 98.95 

Subject 46523: V: 100 | C: 97.9 | Overall score: 98.95 

Subject 55514: V: 100 | C: 97.91 | Overall score: 98.95 

Subject 81535: V: 100 | C: 97.9 | Overall score: 98.95 

Subject 98303: V: 100 | C: 97.9 | Overall score: 98.95 

Subject 29274: V: 100 | C: 97.88 | Overall score: 98.94 

Subject 75181: V: 100 | C: 97.88 | Overall score: 98.94 

Subject 78570: V: 100 | C: 97.87 | Overall score: 98.94 

Subject 85536: V: 100 | C: 97.87 | Overall score: 98.94 

Subject 10200: V: 100 | C: 97.86 | Overall score: 98.93 

Subject 5196: V: 100 | C: 97.86 | Overall score: 98.93 

Subject 83922: V: 100 | C: 97.86 | Overall score: 98.93 

Subject 18756: V: 100 | C: 97.84 | Overall score: 98.92 

Subject 24451: V: 100 | C: 97.84 | Overall score: 98.92 

Subject 31123: V: 100 | C: 97.84 | Overall score: 98.92 

Subject 31290: V: 100 | C: 97.85 | Overall score: 98.92 

Subject 43412: V: 100 | C: 97.85 | Overall score: 98.92 

Subject 81608: V: 100 | C: 97.84 | Overall score: 98.92 

Subject 91043: V: 100 | C: 97.85 | Overall score: 98.92 

Subject 92353: V: 100 | C: 97.84 | Overall score: 98.92 

Subject 93392: V: 100 | C: 97.85 | Overall score: 98.92 

Subject 1390: V: 100 | C: 97.83 | Overall score: 98.91 

Subject 25861: V: 100 | C: 97.83 | Overall score: 98.91 

Subject 30476: V: 100 | C: 97.82 | Overall score: 98.91 

Subject 41260: V: 100 | C: 97.82 | Overall score: 98.91 

Subject 58441: V: 100 | C: 97.83 | Overall score: 98.91 

Subject 59448: V: 100 | C: 97.82 | Overall score: 98.91 

Subject 68752: V: 100 | C: 97.83 | Overall score: 98.91 

Subject 68857: V: 100 | C: 97.82 | Overall score: 98.91 

Subject 69512: V: 100 | C: 97.83 | Overall score: 98.91 

Subject 79280: V: 100 | C: 97.81 | Overall score: 98.91 

Subject 8062: V: 100 | C: 97.81 | Overall score: 98.91 

Subject 91558: V: 100 | C: 97.83 | Overall score: 98.91 

Subject 20528: V: 100 | C: 97.79 | Overall score: 98.90 

Subject 29089: V: 100 | C: 97.8 | Overall score: 98.90 

Subject 58843: V: 100 | C: 97.8 | Overall score: 98.90 

Subject 7711: V: 100 | C: 97.79 | Overall score: 98.90 

Subject 56552: V: 100 | C: 97.78 | Overall score: 98.89 

Subject 13960: V: 100 | C: 97.77 | Overall score: 98.88 

Subject 29968: V: 100 | C: 97.77 | Overall score: 98.88 

Subject 48539: V: 100 | C: 97.77 | Overall score: 98.88 

Subject 70226: V: 100 | C: 97.75 | Overall score: 98.88 

Subject 94762: V: 100 | C: 97.75 | Overall score: 98.88 

Subject 9895: V: 100 | C: 97.77 | Overall score: 98.88 

Subject 1556: V: 100 | C: 97.74 | Overall score: 98.87 

Subject 25364: V: 100 | C: 97.74 | Overall score: 98.87 

Subject 42189: V: 100 | C: 97.74 | Overall score: 98.87 

Subject 5242: V: 100 | C: 97.73 | Overall score: 98.87 

Subject 55400: V: 100 | C: 97.74 | Overall score: 98.87 

Subject 56985: V: 100 | C: 97.74 | Overall score: 98.87 

Subject 63932: V: 100 | C: 97.73 | Overall score: 98.87 

Subject 671: V: 100 | C: 97.74 | Overall score: 98.87 

Subject 75064: V: 100 | C: 97.73 | Overall score: 98.87 

Subject 86678: V: 100 | C: 97.73 | Overall score: 98.87 

Subject 10248: V: 100 | C: 97.72 | Overall score: 98.86 

Subject 10817: V: 100 | C: 97.72 | Overall score: 98.86 

Subject 15264: V: 100 | C: 97.72 | Overall score: 98.86 

Subject 22671: V: 100 | C: 97.72 | Overall score: 98.86 

Subject 27280: V: 100 | C: 97.72 | Overall score: 98.86 

Subject 30409: V: 100 | C: 97.72 | Overall score: 98.86 

Subject 27224: V: 100 | C: 97.7 | Overall score: 98.85 

Subject 29856: V: 100 | C: 97.7 | Overall score: 98.85 

Subject 57006: V: 100 | C: 97.7 | Overall score: 98.85 

Subject 59392: V: 100 | C: 97.71 | Overall score: 98.85 

Subject 86824: V: 100 | C: 97.7 | Overall score: 98.85 

Subject 19792: V: 100 | C: 97.68 | Overall score: 98.84 

Subject 23034: V: 100 | C: 97.67 | Overall score: 98.84 

Subject 23637: V: 100 | C: 97.69 | Overall score: 98.84 

Subject 27035: V: 100 | C: 97.67 | Overall score: 98.84 

Subject 29010: V: 100 | C: 97.67 | Overall score: 98.84 

Subject 45570: V: 100 | C: 97.67 | Overall score: 98.84 

Subject 54348: V: 100 | C: 97.69 | Overall score: 98.84 

Subject 74733: V: 100 | C: 97.68 | Overall score: 98.84 

Subject 82563: V: 100 | C: 97.67 | Overall score: 98.84 

Subject 91350: V: 100 | C: 97.67 | Overall score: 98.84 

Subject 93196: V: 100 | C: 97.69 | Overall score: 98.84 

Subject 95240: V: 100 | C: 97.67 | Overall score: 98.84 

Subject 29142: V: 100 | C: 97.66 | Overall score: 98.83 

Subject 30798: V: 100 | C: 97.66 | Overall score: 98.83 

Subject 32504: V: 100 | C: 97.66 | Overall score: 98.83 

Subject 5246: V: 100 | C: 97.66 | Overall score: 98.83 

Subject 85464: V: 100 | C: 97.66 | Overall score: 98.83 

Subject 19184: V: 100 | C: 97.64 | Overall score: 98.82 

Subject 25208: V: 100 | C: 97.64 | Overall score: 98.82 

Subject 76494: V: 100 | C: 97.64 | Overall score: 98.82 

Subject 89100: V: 100 | C: 97.64 | Overall score: 98.82 

Subject 99836: V: 100 | C: 97.64 | Overall score: 98.82 

Subject 10563: V: 100 | C: 97.61 | Overall score: 98.81 

Subject 18557: V: 100 | C: 97.62 | Overall score: 98.81 

Subject 22841: V: 100 | C: 97.61 | Overall score: 98.81 

Subject 28426: V: 100 | C: 97.63 | Overall score: 98.81 

Subject 4668: V: 100 | C: 97.63 | Overall score: 98.81 

Subject 5489: V: 100 | C: 97.63 | Overall score: 98.81 

Subject 57858: V: 100 | C: 97.61 | Overall score: 98.81 

Subject 59352: V: 100 | C: 97.63 | Overall score: 98.81 

Subject 61005: V: 100 | C: 97.63 | Overall score: 98.81 

Subject 7024: V: 100 | C: 97.61 | Overall score: 98.81 

Subject 91548: V: 100 | C: 97.62 | Overall score: 98.81 

Subject 93203: V: 100 | C: 97.62 | Overall score: 98.81 

Subject 5596: V: 100 | C: 97.59 | Overall score: 98.80 

Subject 61259: V: 100 | C: 97.6 | Overall score: 98.80 

Subject 86270: V: 100 | C: 97.6 | Overall score: 98.80 

Subject 93535: V: 100 | C: 97.59 | Overall score: 98.80 

Subject 10529: V: 100 | C: 97.58 | Overall score: 98.79 

Subject 3975: V: 100 | C: 97.58 | Overall score: 98.79 

Subject 80737: V: 100 | C: 97.58 | Overall score: 98.79 

Subject 89334: V: 100 | C: 97.58 | Overall score: 98.79 

Subject 1949: V: 100 | C: 97.55 | Overall score: 98.78 

Subject 22119: V: 100 | C: 97.57 | Overall score: 98.78 

Subject 2938: V: 100 | C: 97.55 | Overall score: 98.78 

Subject 30189: V: 100 | C: 97.55 | Overall score: 98.78 

Subject 4152: V: 100 | C: 97.56 | Overall score: 98.78 

Subject 44829: V: 100 | C: 97.55 | Overall score: 98.78 

Subject 51094: V: 100 | C: 97.57 | Overall score: 98.78 

Subject 59201: V: 100 | C: 97.56 | Overall score: 98.78 

Subject 68533: V: 100 | C: 97.55 | Overall score: 98.78 

Subject 69758: V: 100 | C: 97.56 | Overall score: 98.78 

Subject 7470: V: 100 | C: 97.56 | Overall score: 98.78 

Subject 77280: V: 100 | C: 97.55 | Overall score: 98.78 

Subject 84969: V: 100 | C: 97.55 | Overall score: 98.78 

Subject 97441: V: 100 | C: 97.56 | Overall score: 98.78 

Subject 12299: V: 100 | C: 97.54 | Overall score: 98.77 

Subject 22872: V: 100 | C: 97.54 | Overall score: 98.77 

Subject 23796: V: 100 | C: 97.53 | Overall score: 98.77 

Subject 56032: V: 100 | C: 97.53 | Overall score: 98.77 

Subject 7306: V: 100 | C: 97.54 | Overall score: 98.77 

Subject 79894: V: 100 | C: 97.54 | Overall score: 98.77 

Subject 81008: V: 100 | C: 97.54 | Overall score: 98.77 

Subject 81692: V: 100 | C: 97.53 | Overall score: 98.77 

Subject 94119: V: 100 | C: 97.54 | Overall score: 98.77 

Subject 32436: V: 100 | C: 97.52 | Overall score: 98.76 

Subject 46403: V: 100 | C: 97.52 | Overall score: 98.76 

Subject 51976: V: 100 | C: 97.52 | Overall score: 98.76 

Subject 11554: V: 100 | C: 97.5 | Overall score: 98.75 

Subject 16480: V: 100 | C: 97.51 | Overall score: 98.75 

Subject 21769: V: 100 | C: 97.49 | Overall score: 98.75 

Subject 21842: V: 100 | C: 97.49 | Overall score: 98.75 

Subject 23131: V: 100 | C: 97.49 | Overall score: 98.75 

Subject 26408: V: 100 | C: 97.51 | Overall score: 98.75 

Subject 2691: V: 100 | C: 97.5 | Overall score: 98.75 

Subject 27751: V: 100 | C: 97.5 | Overall score: 98.75 

Subject 30509: V: 100 | C: 97.49 | Overall score: 98.75 

Subject 31831: V: 100 | C: 97.49 | Overall score: 98.75 

Subject 42232: V: 100 | C: 97.49 | Overall score: 98.75 

Subject 49499: V: 100 | C: 97.51 | Overall score: 98.75 

Subject 53425: V: 100 | C: 97.51 | Overall score: 98.75 

Subject 68007: V: 100 | C: 97.51 | Overall score: 98.75 

Subject 74891: V: 100 | C: 97.49 | Overall score: 98.75 

Subject 77195: V: 100 | C: 97.51 | Overall score: 98.75 

Subject 80650: V: 100 | C: 97.5 | Overall score: 98.75 

Subject 8591: V: 100 | C: 97.49 | Overall score: 98.75 

Subject 89956: V: 100 | C: 97.51 | Overall score: 98.75 

Subject 94414: V: 100 | C: 97.51 | Overall score: 98.75 

Subject 99322: V: 100 | C: 97.51 | Overall score: 98.75 

Subject 30495: V: 100 | C: 97.48 | Overall score: 98.74 

Subject 65284: V: 100 | C: 97.48 | Overall score: 98.74 

Subject 67188: V: 100 | C: 97.48 | Overall score: 98.74 

Subject 77034: V: 100 | C: 97.48 | Overall score: 98.74 

Subject 15128: V: 100 | C: 97.47 | Overall score: 98.73 

Subject 19854: V: 100 | C: 97.46 | Overall score: 98.73 

Subject 3047: V: 100 | C: 97.47 | Overall score: 98.73 

Subject 40724: V: 100 | C: 97.47 | Overall score: 98.73 

Subject 4137: V: 100 | C: 97.47 | Overall score: 98.73 

Subject 66736: V: 100 | C: 97.47 | Overall score: 98.73 

Subject 71206: V: 100 | C: 97.47 | Overall score: 98.73 

Subject 76017: V: 100 | C: 97.47 | Overall score: 98.73 

Subject 83093: V: 100 | C: 97.47 | Overall score: 98.73 

Subject 84130: V: 100 | C: 97.46 | Overall score: 98.73 

Subject 12365: V: 100 | C: 97.43 | Overall score: 98.72 

Subject 12401: V: 100 | C: 97.43 | Overall score: 98.72 

Subject 29894: V: 100 | C: 97.43 | Overall score: 98.72 

Subject 29927: V: 100 | C: 97.43 | Overall score: 98.72 

Subject 56922: V: 100 | C: 97.43 | Overall score: 98.72 

Subject 58055: V: 100 | C: 97.43 | Overall score: 98.72 

Subject 60672: V: 100 | C: 97.44 | Overall score: 98.72 

Subject 61462: V: 100 | C: 97.43 | Overall score: 98.72 

Subject 67341: V: 100 | C: 97.44 | Overall score: 98.72 

Subject 72229: V: 100 | C: 97.45 | Overall score: 98.72 

Subject 750: V: 100 | C: 97.43 | Overall score: 98.72 

Subject 80833: V: 100 | C: 97.44 | Overall score: 98.72 

Subject 85723: V: 100 | C: 97.44 | Overall score: 98.72 

Subject 24687: V: 100 | C: 97.42 | Overall score: 98.71 

Subject 30492: V: 100 | C: 97.42 | Overall score: 98.71 

Subject 3133: V: 100 | C: 97.42 | Overall score: 98.71 

Subject 41098: V: 100 | C: 97.42 | Overall score: 98.71 

Subject 42049: V: 100 | C: 97.42 | Overall score: 98.71 

Subject 48253: V: 100 | C: 97.42 | Overall score: 98.71 

Subject 12847: V: 100 | C: 97.4 | Overall score: 98.70 

Subject 13181: V: 100 | C: 97.41 | Overall score: 98.70 

Subject 23261: V: 100 | C: 97.4 | Overall score: 98.70 

Subject 24289: V: 100 | C: 97.41 | Overall score: 98.70 

Subject 29035: V: 100 | C: 97.41 | Overall score: 98.70 

Subject 29465: V: 100 | C: 97.4 | Overall score: 98.70 

Subject 40854: V: 100 | C: 97.4 | Overall score: 98.70 

Subject 51545: V: 100 | C: 97.41 | Overall score: 98.70 

Subject 53541: V: 100 | C: 97.41 | Overall score: 98.70 

Subject 54681: V: 100 | C: 97.41 | Overall score: 98.70 

Subject 63509: V: 100 | C: 97.4 | Overall score: 98.70 

Subject 87959: V: 100 | C: 97.41 | Overall score: 98.70 

Subject 92793: V: 100 | C: 97.41 | Overall score: 98.70 

Subject 98744: V: 100 | C: 97.4 | Overall score: 98.70 

Subject 99260: V: 100 | C: 97.4 | Overall score: 98.70 

Subject 10653: V: 100 | C: 97.38 | Overall score: 98.69 

Subject 17355: V: 100 | C: 97.37 | Overall score: 98.69 

Subject 17400: V: 100 | C: 97.38 | Overall score: 98.69 

Subject 23083: V: 100 | C: 97.39 | Overall score: 98.69 

Subject 25590: V: 100 | C: 97.37 | Overall score: 98.69 

Subject 30998: V: 100 | C: 97.38 | Overall score: 98.69 

Subject 4394: V: 100 | C: 97.39 | Overall score: 98.69 

Subject 45589: V: 100 | C: 97.37 | Overall score: 98.69 

Subject 48461: V: 100 | C: 97.37 | Overall score: 98.69 

Subject 50063: V: 100 | C: 97.38 | Overall score: 98.69 

Subject 57899: V: 100 | C: 97.38 | Overall score: 98.69 

Subject 5828: V: 100 | C: 97.38 | Overall score: 98.69 

Subject 59266: V: 100 | C: 97.37 | Overall score: 98.69 

Subject 60025: V: 100 | C: 97.37 | Overall score: 98.69 

Subject 8405: V: 100 | C: 97.39 | Overall score: 98.69 

Subject 87880: V: 100 | C: 97.37 | Overall score: 98.69 

Subject 91673: V: 100 | C: 97.37 | Overall score: 98.69 

Subject 94745: V: 100 | C: 97.39 | Overall score: 98.69 

Subject 82279: V: 100 | C: 97.36 | Overall score: 98.68 

Subject 9382: V: 100 | C: 97.36 | Overall score: 98.68 

Subject 20452: V: 100 | C: 97.34 | Overall score: 98.67 

Subject 21163: V: 100 | C: 97.35 | Overall score: 98.67 

Subject 30494: V: 100 | C: 97.34 | Overall score: 98.67 

Subject 51728: V: 100 | C: 97.35 | Overall score: 98.67 

Subject 51872: V: 100 | C: 97.34 | Overall score: 98.67 

Subject 55896: V: 100 | C: 97.34 | Overall score: 98.67 

Subject 59420: V: 100 | C: 97.34 | Overall score: 98.67 

Subject 1104: V: 100 | C: 97.31 | Overall score: 98.66 

Subject 17150: V: 100 | C: 97.33 | Overall score: 98.66 

Subject 28527: V: 100 | C: 97.32 | Overall score: 98.66 

Subject 29765: V: 100 | C: 97.33 | Overall score: 98.66 

Subject 30674: V: 100 | C: 97.31 | Overall score: 98.66 

Subject 52121: V: 100 | C: 97.31 | Overall score: 98.66 

Subject 53676: V: 100 | C: 97.33 | Overall score: 98.66 

Subject 58668: V: 100 | C: 97.32 | Overall score: 98.66 

Subject 59373: V: 100 | C: 97.33 | Overall score: 98.66 

Subject 59829: V: 100 | C: 97.31 | Overall score: 98.66 

Subject 63024: V: 100 | C: 97.32 | Overall score: 98.66 

Subject 65577: V: 100 | C: 97.32 | Overall score: 98.66 

Subject 77614: V: 100 | C: 97.33 | Overall score: 98.66 

Subject 77815: V: 100 | C: 97.31 | Overall score: 98.66 

Subject 81577: V: 100 | C: 97.32 | Overall score: 98.66 

Subject 92170: V: 100 | C: 97.33 | Overall score: 98.66 

Subject 9226: V: 100 | C: 97.31 | Overall score: 98.66 

Subject 11359: V: 100 | C: 97.29 | Overall score: 98.65 

Subject 13710: V: 100 | C: 97.29 | Overall score: 98.65 

Subject 15524: V: 100 | C: 97.29 | Overall score: 98.65 

Subject 27689: V: 100 | C: 97.3 | Overall score: 98.65 

Subject 357: V: 100 | C: 97.29 | Overall score: 98.65 

Subject 40004: V: 100 | C: 97.29 | Overall score: 98.65 

Subject 41517: V: 100 | C: 97.29 | Overall score: 98.65 

Subject 468: V: 100 | C: 97.3 | Overall score: 98.65 

Subject 55571: V: 100 | C: 97.3 | Overall score: 98.65 

Subject 56527: V: 100 | C: 97.29 | Overall score: 98.65 

Subject 57753: V: 100 | C: 97.29 | Overall score: 98.65 

Subject 69104: V: 100 | C: 97.3 | Overall score: 98.65 

Subject 80518: V: 100 | C: 97.3 | Overall score: 98.65 

Subject 89126: V: 100 | C: 97.3 | Overall score: 98.65 

Subject 95390: V: 100 | C: 97.3 | Overall score: 98.65 

Subject 9575: V: 100 | C: 97.3 | Overall score: 98.65 

Subject 99955: V: 100 | C: 97.3 | Overall score: 98.65 

Subject 18900: V: 100 | C: 97.28 | Overall score: 98.64 

Subject 53722: V: 100 | C: 97.28 | Overall score: 98.64 

Subject 79306: V: 100 | C: 97.28 | Overall score: 98.64 

Subject 9056: V: 100 | C: 97.28 | Overall score: 98.64 

Subject 11270: V: 100 | C: 97.27 | Overall score: 98.63 

Subject 14741: V: 100 | C: 97.27 | Overall score: 98.63 

Subject 20825: V: 100 | C: 97.26 | Overall score: 98.63 

Subject 23329: V: 100 | C: 97.26 | Overall score: 98.63 

Subject 4264: V: 100 | C: 97.26 | Overall score: 98.63 

Subject 53939: V: 100 | C: 97.26 | Overall score: 98.63 

Subject 57982: V: 100 | C: 97.26 | Overall score: 98.63 

Subject 59777: V: 100 | C: 97.27 | Overall score: 98.63 

Subject 76603: V: 100 | C: 97.26 | Overall score: 98.63 

Subject 88309: V: 100 | C: 97.26 | Overall score: 98.63 

Subject 94982: V: 100 | C: 97.27 | Overall score: 98.63 

Subject 13740: V: 100 | C: 97.25 | Overall score: 98.62 

Subject 2113: V: 100 | C: 97.25 | Overall score: 98.62 

Subject 22588: V: 100 | C: 97.23 | Overall score: 98.62 

Subject 23259: V: 100 | C: 97.23 | Overall score: 98.62 

Subject 30301: V: 100 | C: 97.24 | Overall score: 98.62 

Subject 30354: V: 100 | C: 97.25 | Overall score: 98.62 

Subject 31608: V: 100 | C: 97.25 | Overall score: 98.62 

Subject 45502: V: 100 | C: 97.24 | Overall score: 98.62 

Subject 5512: V: 100 | C: 97.25 | Overall score: 98.62 

Subject 59943: V: 100 | C: 97.24 | Overall score: 98.62 

Subject 81425: V: 100 | C: 97.25 | Overall score: 98.62 

Subject 83565: V: 100 | C: 97.25 | Overall score: 98.62 

Subject 94319: V: 100 | C: 97.25 | Overall score: 98.62 

Subject 96443: V: 100 | C: 97.24 | Overall score: 98.62 

Subject 98593: V: 100 | C: 97.25 | Overall score: 98.62 

Subject 20779: V: 100 | C: 97.22 | Overall score: 98.61 

Subject 22094: V: 100 | C: 97.22 | Overall score: 98.61 

Subject 31463: V: 100 | C: 97.22 | Overall score: 98.61 

Subject 51658: V: 100 | C: 97.22 | Overall score: 98.61 

Subject 5521: V: 100 | C: 97.22 | Overall score: 98.61 

Subject 73831: V: 100 | C: 97.22 | Overall score: 98.61 

Subject 7945: V: 100 | C: 97.22 | Overall score: 98.61 

Subject 85212: V: 100 | C: 97.22 | Overall score: 98.61 

Subject 87470: V: 100 | C: 97.22 | Overall score: 98.61 

Subject 15298: V: 100 | C: 97.21 | Overall score: 98.60 

Subject 30344: V: 100 | C: 97.21 | Overall score: 98.60 

Subject 51971: V: 100 | C: 97.21 | Overall score: 98.60 

Subject 56046: V: 100 | C: 97.21 | Overall score: 98.60 

Subject 56769: V: 100 | C: 97.2 | Overall score: 98.60 

Subject 63339: V: 100 | C: 97.2 | Overall score: 98.60 

Subject 63866: V: 100 | C: 97.2 | Overall score: 98.60 

Subject 65636: V: 100 | C: 97.21 | Overall score: 98.60 

Subject 69098: V: 100 | C: 97.2 | Overall score: 98.60 

Subject 85492: V: 100 | C: 97.21 | Overall score: 98.60 

Subject 13523: V: 100 | C: 97.18 | Overall score: 98.59 

Subject 14219: V: 100 | C: 97.19 | Overall score: 98.59 

Subject 25582: V: 100 | C: 97.19 | Overall score: 98.59 

Subject 27069: V: 100 | C: 97.19 | Overall score: 98.59 

Subject 28185: V: 100 | C: 97.18 | Overall score: 98.59 

Subject 29300: V: 100 | C: 97.17 | Overall score: 98.59 

Subject 30190: V: 100 | C: 97.17 | Overall score: 98.59 

Subject 31434: V: 100 | C: 97.18 | Overall score: 98.59 

Subject 44059: V: 100 | C: 97.19 | Overall score: 98.59 

Subject 47719: V: 100 | C: 97.18 | Overall score: 98.59 

Subject 515: V: 100 | C: 97.17 | Overall score: 98.59 

Subject 54739: V: 100 | C: 97.19 | Overall score: 98.59 

Subject 5819: V: 100 | C: 97.17 | Overall score: 98.59 

Subject 68527: V: 100 | C: 97.19 | Overall score: 98.59 

Subject 87976: V: 100 | C: 97.18 | Overall score: 98.59 

Subject 93647: V: 100 | C: 97.19 | Overall score: 98.59 

Subject 18848: V: 100 | C: 97.15 | Overall score: 98.58 

Subject 1886: V: 100 | C: 97.16 | Overall score: 98.58 

Subject 19553: V: 100 | C: 97.16 | Overall score: 98.58 

Subject 21094: V: 100 | C: 97.16 | Overall score: 98.58 

Subject 2228: V: 100 | C: 97.16 | Overall score: 98.58 

Subject 23885: V: 100 | C: 97.15 | Overall score: 98.58 

Subject 26407: V: 100 | C: 97.15 | Overall score: 98.58 

Subject 30211: V: 100 | C: 97.16 | Overall score: 98.58 

Subject 46548: V: 100 | C: 97.15 | Overall score: 98.58 

Subject 51823: V: 100 | C: 97.15 | Overall score: 98.58 

Subject 58888: V: 100 | C: 97.16 | Overall score: 98.58 

Subject 79923: V: 100 | C: 97.16 | Overall score: 98.58 

Subject 81893: V: 100 | C: 97.16 | Overall score: 98.58 

Subject 87572: V: 100 | C: 97.15 | Overall score: 98.58 

Subject 87743: V: 100 | C: 97.16 | Overall score: 98.58 

Subject 92644: V: 100 | C: 97.16 | Overall score: 98.58 

Subject 9380: V: 100 | C: 97.15 | Overall score: 98.58 

Subject 21358: V: 100 | C: 97.14 | Overall score: 98.57 

Subject 27905: V: 100 | C: 97.14 | Overall score: 98.57 

Subject 2974: V: 100 | C: 97.14 | Overall score: 98.57 

Subject 45434: V: 100 | C: 97.14 | Overall score: 98.57 

Subject 46415: V: 100 | C: 97.14 | Overall score: 98.57 

Subject 60214: V: 100 | C: 97.14 | Overall score: 98.57 

Subject 66461: V: 100 | C: 97.14 | Overall score: 98.57 

Subject 85647: V: 100 | C: 97.14 | Overall score: 98.57 

Subject 89437: V: 100 | C: 97.14 | Overall score: 98.57 

Subject 98702: V: 100 | C: 97.14 | Overall score: 98.57 

Subject 12629: V: 100 | C: 97.11 | Overall score: 98.56 

Subject 26861: V: 100 | C: 97.13 | Overall score: 98.56 

Subject 30988: V: 100 | C: 97.12 | Overall score: 98.56 

Subject 41546: V: 100 | C: 97.13 | Overall score: 98.56 

Subject 48780: V: 100 | C: 97.12 | Overall score: 98.56 

Subject 51951: V: 100 | C: 97.11 | Overall score: 98.56 

Subject 52355: V: 100 | C: 97.11 | Overall score: 98.56 

Subject 54381: V: 100 | C: 97.13 | Overall score: 98.56 

Subject 60063: V: 100 | C: 97.13 | Overall score: 98.56 

Subject 68860: V: 100 | C: 97.11 | Overall score: 98.56 

Subject 72778: V: 100 | C: 97.13 | Overall score: 98.56 

